대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
104926,0077,여자,20,0109,남자,20,,,,미용과 패션,뷰티 산업,1,A,충공! 와! 요즘 뷰티 산업이 엄청 활성화되고 있나봐,충공
,,,,,,,,,,,,2,B,"응, 맞아! 뷰티 관련 기업들이 경쟁이 치열해지고 있대",
,,,,,,,,,,,,3,A,그래서 중국에서는 뷰티 기업들이 다양한 대안을 찾고 있대,
,,,,,,,,,,,,4,B,글쿠나. 그 중에서도 자체 도메인 강화가 대표적인 방안이래,글쿠나
,,,,,,,,,,,,5,A,그렇게 중국의 뷰티 시장은 꽤 큰 규모인가봐,
,,,,,,,,,,,,6,B,"응, 중국의 화장품 소매 판매액은 상당히 많이 증가했대",
,,,,,,,,,,,,7,A,근데 언론에 따르면 뷰티 기업들은 더 치열한 경쟁에 직면하고 있대,
,,,,,,,,,,,,8,B,글쿠나. 온라인 플랫폼이 다양해지고 브랜드도 많아지니까 경쟁이 치열해지는 거겠지,글쿠나
,,,,,,,,,,,,9,A,마좌 그래서 클릭 한 번을 만들기 위해 지출하는 비용도 급격하게 늘어나고 있대,마좌
,,,,,,,,,,,,10,B,와우내 짜짜 대단한 시장이네. 근데 코로나19 이전에도 이미 뷰티 산업은 성장했었지,짜짜;와우내
,,,,,,,,,,,,11,A,"응, 그래서 무한 경쟁 상황에서 대부분의 브랜드가 인플루언서에 의존하고 있었어",
,,,,,,,,,,,,12,B,인플루언서의 명성이 레알 대단한 영향을 끼치는구나,레알
,,,,,,,,,,,,13,A,ㅇㅇ 근데 뷰티 산업은 앞으로도 계속 성장할 것 같아,
,,,,,,,,,,,,14,B,맞아 뷰티에 관심이 많은 사람들이 더 늘어나니까 더 큰 시장이 될 거야,
,,,,,,,,,,,,15,A,글쿠나. 앞으로도 뷰티 산업은 계속 발전할 것 같아,글쿠나
,,,,,,,,,,,,16,B,"응, 그래서 우리도 뷰티 관련 사업을 시작해보는 건 ㅇㄸ?",
191692,0000,남자,10,0001,여자,10,,,,미용과 패션,까르띠에,1,A,이거 근데 지금 까르띠에 청담에 새로 오픈한대,
,,,,,,,,,,,,2,B,짜짜? 머박이네 ㅋㅋ,머박;짜짜
,,,,,,,,,,,,3,A,응응 거기가 서울에 파리 늬낌을 더해준대,늬낌
,,,,,,,,,,,,4,B,와 진짜 궁금하다 ㅠㅠ,
,,,,,,,,,,,,5,A,나도 한번 가봐야겠다 ㅎㅎ,
,,,,,,,,,,,,6,B,그래 그래 나도 같이 가자!,
,,,,,,,,,,,,7,A,내일 시간 있어?,
,,,,,,,,,,,,8,B,응! 어디에서 만날까?,
,,,,,,,,,,,,9,A,청담에 있는 까르띠에 메종 청담에서 만나자,
,,,,,,,,,,,,10,B,그래! 그러면 거기서 봐!,
,,,,,,,,,,,,11,A,ㅇㅋㅇㅋ 내일 봐!,ㅇㅋㅇㅋ
,,,,,,,,,,,,12,B,응! 내일 봐!,
,,,,,,,,,,,,13,A,까르띠에 메종 청담에서 만난다니 레알루다가 기대된다,레알
,,,,,,,,,,,,14,B,나도 기대된다 ㅋㅋ,
,,,,,,,,,,,,15,A,모든 걸 느껴보고 싶다,
,,,,,,,,,,,,16,B,그래! 우리 함께 즐겨보자!,
174480,0103,남자,30,0153,여자,30,,,,미용과 패션,지그재그,1,A,지그재그 어제 새로운 기획전이 나왔어 ㅎㅎ,
,,,,,,,,,,,,2,B,ㄹㅇ 뭔 기획전이야 궁금하다ㅋㅋ,ㄹㅇ
,,,,,,,,,,,,3,A,신규 브랜드들이 참여한 '루키 브랜드 지원 프로젝트'래!,
,,,,,,,,,,,,4,B,와~ 루키 브랜드들이라니 오우예 씨몬이다! 어떤 브랜드들이 있어?,오우예 씨몬
,,,,,,,,,,,,5,A,엄청 다양한 브랜드들이 있어ㅎㅎ 말하자면 '지그재그 브랜드관' 같은 늬낌!,늬낌
,,,,,,,,,,,,6,B,와~ 그러면 옷도 많이 파는 브랜드들이 많겠다! 어떤 스타일로 옷을 골라야 할지 고민이네ㅠㅠ,
,,,,,,,,,,,,7,A,헤헤 그래도 걱정 마! 어떤 스타일이든 다 있으니까 잘 골라봐!,
,,,,,,,,,,,,8,B,고마워~ 그러면 난 오늘 지그재그에서 쇼핑할게! ㅋㅋ,
,,,,,,,,,,,,9,A,좋아~ 쇼핑 재밌게 해줘!,
,,,,,,,,,,,,10,B,그래! 그러면 나는 이만 가봐야겠어! 바이바이~,
,,,,,,,,,,,,11,A,바이바이~ 쇼핑 잘해!,
,,,,,,,,,,,,12,B,고마워~ 빠이빠이!,
,,,,,,,,,,,,13,A,잘 가~!,
,,,,,,,,,,,,14,B,잘 올게~!,
,,,,,,,,,,,,15,A,응응~ 기다릴게!,
,,,,,,,,,,,,16,B,헤헤 고마워~ 안녕!,
042118,0088,여자,30,0119,남자,30,,,,미용과 패션,구찌,1,A,오늘 구찌 쇼 어땠어?,
,,,,,,,,,,,,2,B,레알 박박이야! 알레산드로 미켈레의 새로운 아이디어가 너무 신선했어,박박;레알
,,,,,,,,,,,,3,A,어떤 아이디어인데? 궁금해!,
,,,,,,,,,,,,4,B,구찌 비러브드 캠페인을 위한 토크쇼를 개최했어,
,,,,,,,,,,,,5,A,토크쇼? 그게 무슨 뜻이야?,
,,,,,,,,,,,,6,B,셀럽들이 구찌를 위해 호스트로 나와서 이야기를 나누는거야,셀럽
,,,,,,,,,,,,7,A,충공! 와! 그러면 어떤 셀럽들이 참여했어?,셀럽;충공
,,,,,,,,,,,,8,B,"아콰피나, 다코타 존슨, 다이앤 키튼, 해리 스타일스, 세레나 윌리엄스, 시에나 밀러 등이 참여했어",
,,,,,,,,,,,,9,A,오우예 씨몬! 박박이네! 그리고 누가 호스트로 나왔어?,박박;오우예 씨몬
,,,,,,,,,,,,10,B,호스트는 배우 제임스 코든이었어,
,,,,,,,,,,,,11,A,이런 새로운 시도를 한 알레산드로 미켈레는 대단한 디자이너인 것 같아,
,,,,,,,,,,,,12,B,맞아! 그 사람은 구찌의 크리에이티브 디렉터니까,
,,,,,,,,,,,,13,A,그리고 구찌의 핸드백들은 어땠어?,
,,,,,,,,,,,,14,B,"디오니서스, 구찌 홀스빗 1955, GG 마몽, 재키 1961 등 구찌의 대표적인 핸드백들이 등장했어",
,,,,,,,,,,,,15,A,구찌 핀도 언급됐어?,
,,,,,,,,,,,,16,B,"응, 구찌 핀도 소개됐어. 구찌 전용 팝업 스토어로 구찌 제품을 체험할 수 있게 해줘",
257402,0001,남자,20,0146,여자,20,,,,미용과 패션,전자상거래,1,A,와 전자상거래 진짜 박박이야!,박박
,,,,,,,,,,,,2,B,응! 최근에 전자상거래로 옷 산 거 있어,
,,,,,,,,,,,,3,A,렬루? 어떤 브랜드?,렬루
,,,,,,,,,,,,4,B,알라딘이라는 곳에서 샀어,
,,,,,,,,,,,,5,A,알라딘? 그거 아직 안 써봤는데,
