대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
,,,,,,,,,,,,14,B,"서울 금천구(약 7.3일), 세종특별자치시(약 7.4일), 경기 김포시(약 7.7일), 전라남도 광양시(약 8.2일), 경기 안산시(약 8.3일), 경기 남양주시(약 8.8일) 등도 추천하고 있어.",
,,,,,,,,,,,,15,A,리드타임이 그렇게 오래 걸리지 않아서 좋네.,
,,,,,,,,,,,,16,B,그래! 가까운 곳에서 휴가를 즐길 수 있어서 좋아!,
193751,0000,남자,10,0001,여자,20,,,,"여행, 관광 및 명소",에어비엔비,1,A,크리스마스에는 어디로 여행 갈까?,
,,,,,,,,,,,,2,B,에어비엔비로 호텔 예약하면 굿굿!,
,,,,,,,,,,,,3,A,에어비엔비에서 '나홀로집에' 배경의 집도 있더라고,
,,,,,,,,,,,,4,B,ㄹㅇ? 나홀로집에 집에서 크리스마스 분위기를 느낄 수 있겠네,ㄹㅇ
,,,,,,,,,,,,5,A,마좌 영화에서 케빈이 사용한 함정도 직접 만들 수 있다고 해,마좌
,,,,,,,,,,,,6,B,와우내 레알 멋지다! 크리스마스에는 그 집에서 놀면서 쉬고 싶다,레알;와우내
,,,,,,,,,,,,7,A,그 집 주인은 '나홀로집에'에서 '버즈'로 등장한 배우라고 하더라고,
,,,,,,,,,,,,8,B,레알? 너무 흥미로워!,레알
,,,,,,,,,,,,9,A,데빈 라트레이가 에어비엔비에서 자기 집을 공유하려고 한다고 해,
,,,,,,,,,,,,10,B,짜짜? 그럼 그 집에서 크리스마스를 보내면서 피자도 먹을 수 있겠네,짜짜
,,,,,,,,,,,,11,A,마좌 데빈 라트레이는 올해 '나홀로집에'에서 경찰로 재등장했대,마좌
,,,,,,,,,,,,12,B,디즈니플러스에서 리부트한 영화인가?,
,,,,,,,,,,,,13,A,맞아 눈길을 끌었더라고,
,,,,,,,,,,,,14,B,나홀로집에 시리즈가 계속되는 건 킹갓인데,킹갓
,,,,,,,,,,,,15,A,마좌 계속해서 나홀로집에 시리즈를 볼 수 있으니까 기대돼,마좌
,,,,,,,,,,,,16,B,크리스마스에는 나홀로집에 시리즈를 보면서 즐거운 시간 보내야지!,
246223,0001,남자,20,0144,여자,20,,,,"여행, 관광 및 명소",잘츠부르크,1,A,여행지 추천해줘,
,,,,,,,,,,,,2,B,잘츠부르크가 굿굿!,
,,,,,,,,,,,,3,A,잘츠부르크에 뭐가 있어?,
,,,,,,,,,,,,4,B,잘츠부르크는 음악과 예술의 도시야,
,,,,,,,,,,,,5,A,음악제나 페스티벌이 많이 열리는 거야?,
,,,,,,,,,,,,6,B,"연간 약 4,500개의 음악제와 페스티벌이 열려!",
,,,,,,,,,,,,7,A,그럼 잘츠부르크 가면 어떤 걸 볼 수 있어?,
,,,,,,,,,,,,8,B,잘츠부르크에는 바로크 양식의 건축물과 아름다운 선율이 어우러져,
,,,,,,,,,,,,9,A,그럼 현지인이 좋아하는 숨은 명소는 어디야?,
,,,,,,,,,,,,10,B,묀히스베르크 산책로가 핫해!,핫해
,,,,,,,,,,,,11,A,묀히스베르크 산책로에서 뭐 볼 수 있어?,
,,,,,,,,,,,,12,B,잘츠부르크 시내를 한눈에 볼 수 있는 멋진 전망이야,
,,,,,,,,,,,,13,A,묀히스베르크 산책로 얼마나 길어?,
,,,,,,,,,,,,14,B,총 길이는 500미터야,
,,,,,,,,,,,,15,A,잘츠부르크 여행 팁 좀 알려줘!,
,,,,,,,,,,,,16,B,잘츠부르크는 현지인들에게 더 사랑받는 곳이야,
096450,0075,남자,20,0145,여자,20,,,,"여행, 관광 및 명소",페루 쿠스코,1,A,페루 쿠스코 가보고 싶어,
,,,,,,,,,,,,2,B,왜 그래? 다른 여행지도 많은데,
,,,,,,,,,,,,3,A,페루 쿠스코는 특별한 추억을 남길 수 있을 것 같아,
,,,,,,,,,,,,4,B,그럼 어떤 추억을 남길 수 있을까?,
,,,,,,,,,,,,5,A,산 블라스 광장과 플라네타리움에서 별빛 낭만을 즐길 수 있어,
,,,,,,,,,,,,6,B,별빛 하늘 아래 로맨틱한 시간이라니! 레알 좋겠다,레알
,,,,,,,,,,,,7,A,그리고 산 블라스 광장의 림버스 레스토바에서 칵테일도 마실 수 있어,
,,,,,,,,,,,,8,B,아름다운 아경과 같이 칵테일을 즐길 수 있다니! 짜짜 멋지다,짜짜
,,,,,,,,,,,,9,A,페루관광청에서 소개한 허니문 명소들이 렬루 특별하게 느껴져,렬루
,,,,,,,,,,,,10,B,나도 가보고 싶어! 페루 쿠스코로 떠나자,
,,,,,,,,,,,,11,A,그래! 페루 쿠스코로 떠나서 멋진 추억 만들자,
,,,,,,,,,,,,12,B,그럼 언제 떠나자?,
,,,,,,,,,,,,13,A,가능한 빨리 가자! 페루 쿠스코에서 기다릴게,
,,,,,,,,,,,,14,B,너무 기대돼! 페루 쿠스코에서 같이 멋진 시간 보내자,
,,,,,,,,,,,,15,A,그래! 페루 쿠스코에서 행복한 허니문을 보내자,
,,,,,,,,,,,,16,B,페루 쿠스코로 떠나서 행복한 시간을 만들자!,
013873,0075,남자,20,0144,여자,20,,,,"여행, 관광 및 명소",가야고분군,1,A,가야고분군 가보고 싶다,
,,,,,,,,,,,,2,B,나도 가야고분군 가보고 싶어 ㅋㅋ,
,,,,,,,,,,,,3,A,가야고분군은 유네스코 세계유산이래,
,,,,,,,,,,,,4,B,짜짜? 머박이다 ㅎㅎ,머박;짜짜
,,,,,,,,,,,,5,A,그래서 가야고분군에 뭐가 있는데?,
,,,,,,,,,,,,6,B,고분들이 포도송이처럼 맺혀있대,
,,,,,,,,,,,,7,A,와 그럼 짜짜 아름답겠다,짜짜
,,,,,,,,,,,,8,B,"응, 능선과 봉분이 절묘한 조화를 이루고 있어",
,,,,,,,,,,,,9,A,가야고분군은 역사적으로도 중요한 곳이야,
,,,,,,,,,,,,10,B,그래? 그럼 더 가보고 싶다 ㅠㅠ,
,,,,,,,,,,,,11,A,가야고분군은 가야 건국 신화와 관련이 있어,
,,,,,,,,,,,,12,B,신화와 관련된 이야기들이 많이 있겠다,
,,,,,,,,,,,,13,A,맞아 가야산 지맥이 뻗어나간 곳에 위치해 있어,
,,,,,,,,,,,,14,B,가야산도 유네스코 세계유산이래,
,,,,,,,,,,,,15,A,"레알루다가 레게노다, 가야산과 가야고분군을 함께 궈궈",레알;궈궈;레게노
,,,,,,,,,,,,16,B,굿굿 가야산 여행 계획을 세워보자!,
095172,0074,남자,20,0146,여자,20,,,,"여행, 관광 및 명소",여행지 사진,1,A,여행지 사진 찍는 거 좋아?,
,,,,,,,,,,,,2,B,응! 풍경이랑 사람 둘 다 굿굿!,
,,,,,,,,,,,,3,A,나도 그래! 예전에는 사람들이 많이 나왔었지,
,,,,,,,,,,,,4,B,맞아! 사람들이 어깨를 맞대고 찍는 모습이 너무 좋았어,
,,,,,,,,,,,,5,A,그리고 해외여행에서도 단체 사진이 유행했지,
,,,,,,,,,,,,6,B,맞아! 그 당시에는 사진 속 배경과 많은 인물을 한꺼번에 담으려면 어깨를 조금이라도 집어넣어야 했어,
,,,,,,,,,,,,7,A,근데 요즘은 음식 사진이 유행이야,
,,,,,,,,,,,,8,B,맞아! 디지털 카메라 덕분에 음식 사진도 쉽게 찍을 수 있게 됐어,
,,,,,,,,,,,,9,A,음식 사진은 맛과는 상관없어도 비주얼이 좋으면 자랑질이야,
,,,,,,,,,,,,10,B,그래! 내가 먹은 음식 사진을 찍어서 슨스에 올리면 친구들이 얼마나 부러워할까!,슨스;
,,,,,,,,,,,,11,A,그래서 요즘 외식업자들은 음식 사진을 엄청 많이 찍는 거야,
,,,,,,,,,,,,12,B,맞아! 음식 사진 한 컷 한 컷이 돈이 되니까 많이 찍는 거지,
,,,,,,,,,,,,13,A,근데 예전에는 음식 사진 찍는 건 전문가들만 할 수 있었지,
,,,,,,,,,,,,14,B,그래! 평민들은 엄두조차 못 냈어,
,,,,,,,,,,,,15,A,근데 지금은 누구나 음식 사진을 찍을 수 있어서 좋아,
,,,,,,,,,,,,16,B,맞아! 연신 찍어대는 세상이야,
013871,0075,남자,20,0149,여자,20,,,,"여행, 관광 및 명소",포항,1,A,포항에 가본 적 있어?,
,,,,,,,,,,,,2,B,"응, 한 번 갔었어! 포항에는 예쁜 해변이 있더라고!",
,,,,,,,,,,,,3,A,레알루다가? 어디에 있는 거야?,레알
,,,,,,,,,,,,4,B,"포항의 구룡포항이야. 거기에는 빨간색, 흰색 등대가 있어!",
,,,,,,,,,,,,5,A,와 그럼 분위기가 좋겠다. 다음에 꼭 가봐야겠어!,
,,,,,,,,,,,,6,B,맞아 그리고 포항에는 호미곶도 있는데 거기도 멋진 곳이야!,
,,,,,,,,,,,,7,A,호미곶? 그게 뭐임?,
,,,,,,,,,,,,8,B,호미곶은 포항의 아름다운 해안지대야. 호랑이 꼬리를 닮은 지형이라고 해!,
,,,,,,,,,,,,9,A,짜짜? 그럼 일출을 보러 가면 멋진 경치를 볼 수 있겠다!,짜짜
,,,,,,,,,,,,10,B,마좌 호미곶은 새해 일출맞이로 유명한 곳이야. 한 번 가보는 건 ㅇㄸ?,마좌
,,,,,,,,,,,,11,A,"응, 꼭 가보고 싶어! 그리고 포항에는 뭐가 더 있을까?",
,,,,,,,,,,,,12,B,포항에는 포스코가 만든 아트 체험시설도 있어. 연인들의 핫플레이스로 유명하다고 해!,
,,,,,,,,,,,,13,A,와 그럼 로맨틱한 분위기에서 데이트하기 딱 좋겠다!,
,,,,,,,,,,,,14,B,마좌 포항은 여행하기에 레알루다가 좋은 도시야. 다음에 함께 가자!,마좌;레알
,,,,,,,,,,,,15,A,굿굿 그래! 포항 여행 계획을 세워보자!,
,,,,,,,,,,,,16,B,"응, 그럼 다음 주말에 가자! 기대돼!",
102634,0060,여자,40,0129,남자,40,,,,"여행, 관광 및 명소",백종원의 예산시장,1,A,너 예산시장 가본 적 있어?,
,,,,,,,,,,,,2,B,"아니, 아직. 거기가 그렇게 핫플이라며? 언제 한번 가보긴 해야 하는뎀.",핫플
,,,,,,,,,,,,3,A,그럼 이번 주말에 나랑 같이 가는 건 어때? 축제도 있다고 그러는데.,
,,,,,,,,,,,,4,B,맥주 페스티발은 이미 끝난 거 아니었어?,
,,,,,,,,,,,,5,A,그건 버얼써 끝났고 이번에 하는 건 예산장터 삼국축제야.,
,,,,,,,,,,,,6,B,와~ 거기는 진짜 부지런히 행사하네. 이번엔 또 무슨 행사래?,
,,,,,,,,,,,,7,A,이번엔 국화가 주인공인가 봐. 예산시장 주변에 1만 9000여 점의 국화를 전시해 놨대.,
,,,,,,,,,,,,8,B,그럼 먹거리 축제는 아닌 거야?,
,,,,,,,,,,,,9,A,"그게 또 그렇지가 않아. 삼국이 국화, 국수, 국밥을 뜻해서 먹거리존도 있고, 요리 대회도 열리고, 가수들 공연도 있어.",
,,,,,,,,,,,,10,B,오호~ 그거 괜찮네. 그러면 꽃도 보고 예산 시장도 들르고 그럴 거야?,
,,,,,,,,,,,,11,A,ㅇㅇ 예산 시장에 명소들도 많이 생겼다는데 꼭 가봐야지.,
,,,,,,,,,,,,12,B,예산 시장에 어떤 명소들이 있는데?,
,,,,,,,,,,,,13,A,"낙원 약과, 애플양과자점, 선봉국수 등등. 다들 재료가 없어서 못 팔 정도래.",
,,,,,,,,,,,,14,B,그 정도야? 백종원이 진짜 대단한 사람이구나.,
,,,,,,,,,,,,15,A,그러니까. 백종원이 리모델링한 후에 SNS 인싸들부터 일반 구경객들까지 엄청 몰려온대. 주말에 1만 명이 넘게 온다더라.,인싸
,,,,,,,,,,,,16,B,와우~ 대박이네. 주말에 축제 가면 사람에 치이지 않도록 조심해야겠다. ㅎㅎ,대박
094460,0074,남자,20,0144,여자,20,,,,"여행, 관광 및 명소",아이슬란드,1,A,와! 아이슬란드 사진들 너무 멋있어!,
,,,,,,,,,,,,2,B,그래! 아이슬란드는 짜짜 아름다운 곳이야,짜짜
,,,,,,,,,,,,3,A,레알? 나도 가보고 싶다,레알
,,,,,,,,,,,,4,B,한 번 가보면 잊을 수 없을 거야,
,,,,,,,,,,,,5,A,그래서 너도 아이슬란드에 가본 적 있어?,
,,,,,,,,,,,,6,B,"아니, 아직 가보지 못했어. 근데 가고 싶어!",
,,,,,,,,,,,,7,A,나도 아직 가보지 않았어. 같이 가자!,
,,,,,,,,,,,,8,B,짜짜? 그럼 언제 가는 거야?,짜짜
,,,,,,,,,,,,9,A,"아직 계획은 없는데, 언제든지 가능해!",
,,,,,,,,,,,,10,B,그럼 나중에 계획 세워서 가자,
,,,,,,,,,,,,11,A,좋아! 그럼 아이슬란드에서 뭐 하고 싶어?,
,,,,,,,,,,,,12,B,오로라 보고 싶어! 그리고 아이슬란드 음식도 맛보고 싶어,
,,,,,,,,,,,,13,A,나도 오로라 보고 싶어! 그리고 온천에서 휴식도 하고 싶어,
,,,,,,,,,,,,14,B,맞아! 온천에서 힐링하면서 아이슬란드의 아름다움을 느껴야지,
,,,,,,,,,,,,15,A,그래! 그리고 사진도 많이 찍어야지,
,,,,,,,,,,,,16,B,응! 아이슬란드에서 멋진 추억 만들자,
095037,0074,남자,20,0149,여자,20,,,,"여행, 관광 및 명소",제주관광공사,1,A,오늘은 제주관광공사에 대해 얘기해보자!,
,,,,,,,,,,,,2,B,그래! 제주관광공사가 최근에 조직개편을 했다더라,
,,,,,,,,,,,,3,A,조직개편으로 어떤 변화가 있었나봐?,
,,,,,,,,,,,,4,B,"관광진흥과 수익사업, 경영관리 분야를 분리해서 성과와 책임을 강화했대",
,,,,,,,,,,,,5,A,그래서 조직 구성이 어떻게 바뀌었나?,
,,,,,,,,,,,,6,B,관리직 비율을 축소하고 업무 효율성을 높였대,
,,,,,,,,,,,,7,A,글쿠나! 그 외에 뭔가 더 있었을까?,글쿠나
,,,,,,,,,,,,8,B,관광진흥본부를 설립하고 성과주의에 기반한 사업관리 체계를 구축했대,
,,,,,,,,,,,,9,A,그럼 이번 조직개편으로 어떤 목표를 가지고 있었던 거야?,
,,,,,,,,,,,,10,B,목적 사업에 집중할 수 있도록 구조를 개선했대,
,,,,,,,,,,,,11,A,조직개편을 통해 제주관광공사는 더 발전할 수 있을 것 같아!,
,,,,,,,,,,,,12,B,맞아! 제주관광공사는 계속해서 발전해 나가야 해!,
,,,,,,,,,,,,13,A,그래! 제주도의 관광을 더 활성화시키는데 기여할 거야,
,,,,,,,,,,,,14,B,제주도는 레알 아름다운 곳이니까 많은 사람들이 찾았으면 좋겠어,레알
,,,,,,,,,,,,15,A,맞아! 제주도에서 즐거운 시간 보내고 싶다,
,,,,,,,,,,,,16,B,나도! 제주도에서 여행하면 렬루 행복할 것 같아!,렬루
154685,0086,여자,20,0110,남자,20,0141,여자,20,"여행, 관광 및 명소",무주반딧불축제,1,A,와! 무주반딧불축제가 얼마 남지 않았네ㅋㅋ,
,,,,,,,,,,,,2,B,응! 벌써 26회째라니 레게노다ㅎㅎ,레게노
,,,,,,,,,,,,3,C,나도 가보고 싶은데 언제 가야 할까?,
,,,,,,,,,,,,4,A,축제는 8월 27일부터 9월 4일까지 열려!,
,,,,,,,,,,,,5,B,날씨도 좋을 것 같은데 같이 가자!,
,,,,,,,,,,,,6,C,좋아! 그럼 어디서 만나서 갈까?,
,,,,,,,,,,,,7,A,무주일원에서 관람객들을 맞는대ㅎㅎ,
,,,,,,,,,,,,8,B,한풍루나 남대천에서 만나면 좋을 것 같아!,
,,,,,,,,,,,,9,C,그래! 그럼 한풍루에서 만나자!,
,,,,,,,,,,,,10,A,알겠어! 그럼 한풍루에서 만나자ㅋㅋ,
,,,,,,,,,,,,11,B,그럼 그날 무슨 놀이를 먼저 볼까?,
,,,,,,,,,,,,12,C,반딧불이 신비탐사가 흥미로워 보여!,
,,,,,,,,,,,,13,A,그래! 그걸 먼저 보러 가자ㅎㅎ,
,,,,,,,,,,,,14,B,반딧불이 신비탐사는 어디서 볼 수 있을까?,
,,,,,,,,,,,,15,C,무주일원에 있는 신비탐사지에서 볼 수 있대!,
,,,,,,,,,,,,16,A,그럼 신비탐사지로 가서 볼까?,
,,,,,,,,,,,,17,B,좋아! 그럼 신비탐사지로 가자ㅋㅋ,
,,,,,,,,,,,,18,C,반딧불이 신비탐사 외에도 다른 놀이도 많을텐데!,
,,,,,,,,,,,,19,A,맞아! 솟대세우기도 볼 수 있을 거야!,
,,,,,,,,,,,,20,B,그럼 신비탐사 본 다음에 솟대세우기를 보러 가자!,
,,,,,,,,,,,,21,C,좋아! 그럼 그 순서로 가자ㅋㅋ,
,,,,,,,,,,,,22,A,알겠어! 신비탐사 먼저 보고 솟대세우기를 보러 가자!,
,,,,,,,,,,,,23,B,그럼 그렇게 하자! 기대되네ㅎㅎ,
,,,,,,,,,,,,24,C,나도 기대돼! 무주반딧불축제 진짜 재밌을 것 같아!,
019082,0050,여자,30,0119,남자,30,,,,"여행, 관광 및 명소",제주시티투어 야간코스,1,A,나 다음 주에 제주도 간당. ㅎㅎ,
,,,,,,,,,,,,2,B,부럽당! 숙소는 다 예약했어?,
,,,,,,,,,,,,3,A,응. 가성비여행 하려고 다 게하로 잡았어. ㅋㅋ,가성비;게하
,,,,,,,,,,,,4,B,게스트하우스도 너무 좋지. ㅋㅋ 일정을 짰어?ㅋㅋ,
,,,,,,,,,,,,5,A,첫날 오후에 공항 떨어지는데 할만한 거 없을까? ㅎㅎ 시티투어 버스 같은 거 없음?,
,,,,,,,,,,,,6,B,아 그러면 제주도 야밤버스 타봐. 제주도 야간 도심을 즐길 수 있는 시티투어 버스야. ㅋㅋ,
,,,,,,,,,,,,7,A,근데 버스타면 안답답하려나? ㅋㅋ 제주 풍경 보고싶은데.,
,,,,,,,,,,,,8,B,2층버스로 운행하는데 2층은 개방돼있어서 시원하게 제주도를 구경할 수 있다궁.,
,,,,,,,,,,,,9,A,대박이당. ㅋㅋ 가격은 그러면 얼마야?,대박
,,,,,,,,,,,,10,B,"가격은 일반 기준으로 8,000원이구 탐나오 사이트에서 예약할 수 있어.",
,,,,,,,,,,,,11,A,너무 좋네. 그럼 제주도에 다른 시티투어 버스도 있어?,
,,,,,,,,,,,,12,B,ㅇㅇ. 야밤버스처럼 2층 버스로 운행하는데 도심이랑 해안지역을 테마로 운행하고 있어.,
,,,,,,,,,,,,13,A,이번에 택시타지말고 시티투어 버스만 타도 되겠다.,
,,,,,,,,,,,,14,B,웅. 시원하게 바람 맞으면서 여행하면 좋지.,
,,,,,,,,,,,,15,A,바로 예약해야겠어. 꿀정보 고마워.ㅋㅋ,꿀정보
,,,,,,,,,,,,16,B,응응. 재밌는 추억 많이 만들고 와!,
156410,0087,여자,30,0114,남자,30,0151,여자,30,"여행, 관광 및 명소",연천 전곡선사박물관,1,A,연천 전곡선사박물관 고고싱!,고고싱
,,,,,,,,,,,,2,B,오 좋아! 언제 가자?,
,,,,,,,,,,,,3,C,내년 9월까지 특별전시가 있는대!,
,,,,,,,,,,,,4,A,어떤 특별전시인데?,
,,,,,,,,,,,,5,B,돌과 나무의 시대라고 해!,
,,,,,,,,,,,,6,C,선사시대의 도구와 기술을 볼 수 있대,
,,,,,,,,,,,,7,A,돌과 나무로 만든 도구들이 궁금하다,
,,,,,,,,,,,,8,B,나도 그런 도구들을 본 적이 없는데,
,,,,,,,,,,,,9,C,"산과 들, 바다로 영역을 확대한 것도 볼 수 있어",
,,,,,,,,,,,,10,A,그럼 선사시대의 발전을 알 수 있겠네,
,,,,,,,,,,,,11,B,나무도구도 볼 수 있다고 하더라,
,,,,,,,,,,,,12,C,나무유물과 함께 사라진 선사시대 기술도 복원했대,
,,,,,,,,,,,,13,A,실험 고고학자들이 도와서 통나무배와 뗏목도 공개된대,
,,,,,,,,,,,,14,B,전시는 총 6개의 코너로 구성돼 있대,
,,,,,,,,,,,,15,C,"재료와 도구의 특성, 실험 고고학의 성과를 소개한다고 해",
,,,,,,,,,,,,16,A,첫 장은 '도구야 모여라'라고 하던데,
,,,,,,,,,,,,17,B,인간의 손으로 사용하는 모든 도구들이 한눈에 보인대,
,,,,,,,,,,,,18,C,"주먹도끼에서 청동검과 쇠톱, 현대 기기까지 다양한 도구들이 있대",
,,,,,,,,,,,,19,A,와 레알 흥미로워 보이는데,레알
,,,,,,,,,,,,20,B,나도 가보고 싶다!,
,,,,,,,,,,,,21,C,그럼 같이 가자!,
,,,,,,,,,,,,22,A,굿굿! 그럼 내년 9월에 가자,
,,,,,,,,,,,,23,B,좋지 좋지. 약속해 나랑!,
,,,,,,,,,,,,24,C,약속이다!,
228462,0000,남자,10,0141,여자,20,,,,"여행, 관광 및 명소","고래, 고래투어, 캐나다, 보전 관광",1,A,아니 이상한 변호사 우영우 드라마 너무 재밌어,
,,,,,,,,,,,,2,B,레알? 나도 꼭 봐야겠다!,레알
,,,,,,,,,,,,3,A,그런데 드라마에서 나오는 고래에 대한 관심이 높아지고 있대,
,,,,,,,,,,,,4,B,짜짜? 왜 그럴까?,짜짜
,,,,,,,,,,,,5,A,캐나다와 호주관광청에서는 고래투어 핫 스팟을 공개했대,
,,,,,,,,,,,,6,B,고래투어? 레알 갖고 싶다!,레알
,,,,,,,,,,,,7,A,캐나다에서는 고래의 종 다양성을 높이고 개체 수를 회복하기 위해 보전 관광을 한다는데,
,,,,,,,,,,,,8,B,글쿠나. 보전 관광은 중요한 일이야,글쿠나
,,,,,,,,,,,,9,A,고래 투어에는 생태계에 대한 이해를 높이기 위해 교육을 제공하고 보호 기금까지 조성한다고 해,
,,,,,,,,,,,,10,B,그러면 고래 투어를 즐기면서 보호 활동까지 할 수 있겠네,
,,,,,,,,,,,,11,A,캐나다의 해안에서는 30종 이상의 고래가 관찰되는데 여름에는 관찰 성공 확률이 99%라고 해,
,,,,,,,,,,,,12,B,짜짜? 그럼 여름에 가면 고래를 볼 수 있을 거야,짜짜
,,,,,,,,,,,,13,A,고래 관찰 투어는 2시간 30분부터 30시간 정도 진행되고 성인 1인당 100~130 CAD라고 하더라,
,,,,,,,,,,,,14,B,가격도 괜찮은 편이네. 가볼만하겠다!,
,,,,,,,,,,,,15,A,"퀘벡 주, 마니토바 주, 뉴펀들랜드 주, 뉴브런즈윅 주, 노바스코샤 주에서도 고래 관찰이 가능하대",
,,,,,,,,,,,,16,B,이런 멋진 곳들도 가보고 싶다!,
227494,0000,남자,10,0000,남자,10,,,,"여행, 관광 및 명소",산둥성,1,A,ㅎㅇㅎㅇ! 오늘 산둥성 관광 설명회 소식 들었음?,
,,,,,,,,,,,,2,B,응응! 산둥성에서는 새로운 문화관광 상품을 개발한대!,
,,,,,,,,,,,,3,A,와 신기하다! 그럼 어떤 상품이 있어?,
,,,,,,,,,,,,4,B,"자연관광여행, 문화체험여행, 레저휴양여행 등 다양한 상품이 있대!",
,,,,,,,,,,,,5,A,대박이다! 산둥성에는 박물관도 많이 있더라!,대박
,,,,,,,,,,,,6,B,ㅋㅋㅋ 그렇지! 총 721개나 있어!,
,,,,,,,,,,,,7,A,와~ 박물관 투어도 해야겠다!,
,,,,,,,,,,,,8,B,그래! 그럼 산둥성 관광지 중에 어디가 제일 좋아?,
,,,,,,,,,,,,9,A,난 국가1급 관광지인 국가삼림도시가 제일 좋은 것 같아!,
,,,,,,,,,,,,10,B,ㅋㅋㅋ 나도 산둥성에 가서 국가삼림도시 구경하고 싶어!,
,,,,,,,,,,,,11,A,그럼 우리 같이 가자! ㅋㅋ,
,,,,,,,,,,,,12,B,ㅎㅎㅎ 좋아! 산둥성 여행이 기대된다!,
,,,,,,,,,,,,13,A,그런데 산둥성에는 무형문화재도 많이 있대!,
,,,,,,,,,,,,14,B,레알? 그럼 무형문화재 중에 어떤 걸 볼까?,레알
,,,,,,,,,,,,15,A,"왕희지, 제갈량, 노반 등이 유명한 무형문화재래!",
,,,,,,,,,,,,16,B,흐음.. 그 중에 제갈량을 봐야겠다!,
245779,0001,남자,20,0145,여자,20,,,,"여행, 관광 및 명소",온천,1,A,피부가 예뻐지려면 온천이 완내스야,완내스
,,,,,,,,,,,,2,B,맞아! 온천으로 피부 관리를 해보는 건 ㅇㄸ?,ㅇㄸ
,,,,,,,,,,,,3,A,피부 미인은 물을 자주 마셔야 해,
,,,,,,,,,,,,4,B,그래서 나는 물병을 항상 들고 다니거든,
,,,,,,,,,,,,5,A,마실 때 물이 부족하지 않도록 주의해야 해,
,,,,,,,,,,,,6,B,나도 항상 물 마시는 습관을 들이고 있어,
,,,,,,,,,,,,7,A,온천에서 몸을 담그면 피부가 매끈해져,
,,,,,,,,,,,,8,B,얼굴에도 빛이 나서 예뻐지는 거야,
,,,,,,,,,,,,9,A,거제도에는 미네랄이 풍부한 온천이 있대,
,,,,,,,,,,,,10,B,렬루? 어떤 종류의 온천인데?,렬루
,,,,,,,,,,,,11,A,거제도해수보양온천이야. 약알칼리성 약식염천이래,
,,,,,,,,,,,,12,B,그래서 건강과 아름다움을 동시에 느낄 수 있는 거구나,
,,,,,,,,,,,,13,A,맞아 거제도해수보양온천은 국민보양온천으로 인증받은 곳이야,
