대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
,,,,,,,,,,,,2,B,렬루? 어떤 이벤트야?,렬루
,,,,,,,,,,,,3,A,세계 두경부암의 날이래. 예방에 대한 인식을 높이기 위해서 제정한 날이라고 하더라,
,,,,,,,,,,,,4,B,두경부암이 머임? 잘 모르겠다,
,,,,,,,,,,,,5,A,"두경부는 눈, 뇌, 귀, 식도를 제외한 구강, 구인두, 후두, 하인두, 비인두, 갑상선, 침샘 등을 말하는 거래",
,,,,,,,,,,,,6,B,"아하, 그럼 두경부암은 그 부위에서 발생하는 암을 말하는 거구나",
,,,,,,,,,,,,7,A,"맞아 그래서 이 암을 제거할 때는 정상기관을 최대한 보존해야 하고, 치료 후에도 삶의 질과 미용에 신경을 써야 한다고 하더라",
,,,,,,,,,,,,8,B,하지만 조기에 발견되면 완치율이 높다고 들었어,
,,,,,,,,,,,,9,A,"웅웅 특별한 증상이 없어도 목소리 변화나 목의 통증, 입속 궤양이 3주 이상 지속되면 병원을 찾아야 한대",웅웅
,,,,,,,,,,,,10,B,최근에는 발생자 수도 꾸준히 늘어나고 있는 거 같더라,
,,,,,,,,,,,,11,A,마좌 보건복지부 암등록통계에 따르면 최근 10년간 두경부암 발생자 수가 꾸준히 증가했대,마좌
,,,,,,,,,,,,12,B,언제부터 이렇게 많이 발생하게 된 거야?,
,,,,,,,,,,,,13,A,2010년 대비 약 30% 증가했대. 2020년에는 5천666명이 발생했어,
,,,,,,,,,,,,14,B,와 레알루다가 많이 발생하네. 치료가 까다롭다고 들었는데 참고해야겠다,레알
,,,,,,,,,,,,15,A,"응, 건강에는 항상 신경써야 하니까. 예방이 제일 중요하니까",
,,,,,,,,,,,,16,B,마좌 나도 앞으로는 건강에 더 신경써야겠어,마좌
089530,0052,여자,30,0117,남자,30,,,,건강 및 식음료,신세계-비건 대안식 브랜드,1,A,요즘엔 비건 식당 많이 보이더라.,
,,,,,,,,,,,,2,B,맞아. 나도 가끔 간당.,
,,,,,,,,,,,,3,A,예전이랑 다르게 맛있는 곳도 많고.,
,,,,,,,,,,,,4,B,난 그래서 집에서도 가끔 비건음식 먹어.,
,,,,,,,,,,,,5,A,근데 좀 간편하게 먹을 수 있는 거 있어?,
,,,,,,,,,,,,6,B,요즘엔 신세계푸드에서 비건 브랜드 만들어서 집에서 먹기 좋아.,
,,,,,,,,,,,,7,A,그러면 파스타 종류도 있어?,
,,,,,,,,,,,,8,B,"ㅇㅇ. 라구 리카토니, 볼로네제 라쟈냐도있어.",
,,,,,,,,,,,,9,A,그러면 라구 소스에 고기는 뭘로 대체함?,
,,,,,,,,,,,,10,B,베러 미트의 식물성 다짐육을 넣어서 만들었어.,
,,,,,,,,,,,,11,A,그럼 한식 종류도 있어?,
,,,,,,,,,,,,12,B,ㅇㅇ. 한식 메뉴는 런천 김치덮밥이 있당. 이거도 맛있어.,
,,,,,,,,,,,,13,A,생각보다 진짜 다양하게 있네.,
,,,,,,,,,,,,14,B,웅. 난 맛도리들 다 먹어봄.,맛도리
,,,,,,,,,,,,15,A,역시 맛잘알이네. 나도 몇 개 사봐야지.,맛잘알
,,,,,,,,,,,,16,B,웅. 같이 건강한 음식 먹자고. ㅋㅋ,
090098,0100,남자,30,0152,여자,30,,,,건강 및 식음료,전복,1,A,전복 요리 먹어봄?,
,,,,,,,,,,,,2,B,"응, 전복 국 맛있더라 ㅋㅋ",
,,,,,,,,,,,,3,A,전복은 영양가도 좋아서 건강에도 좋대,
,,,,,,,,,,,,4,B,그래서 전복은 미용에도 좋다는 거야?,
,,,,,,,,,,,,5,A,"응, 전복에는 미네랄과 비타민B가 풍부하거든",
,,,,,,,,,,,,6,B,그래서 전복을 먹으면 피부가 좋아지는 거야?,
,,,,,,,,,,,,7,A,그렇지! 전복은 피부에 좋은 영양소가 많아서,
,,,,,,,,,,,,8,B,전복 요리 방법이 어떤 게 제일 맛있을까?,
,,,,,,,,,,,,9,A,전복은 찜이나 조림이 제일 꾸르맛임!,꾸르맛
,,,,,,,,,,,,10,B,전복 찜은 어떻게 만들어?,
,,,,,,,,,,,,11,A,전복에 약간의 소금과 후추를 뿌리고 찜하면 돼,
,,,,,,,,,,,,12,B,그럼 전복 조림은 어떻게 만들어?,
,,,,,,,,,,,,13,A,"전복에 간장, 설탕, 다진 마늘을 넣고 조림하면 돼",
,,,,,,,,,,,,14,B,전복 요리는 어디서 먹을 수 있을까?,
,,,,,,,,,,,,15,A,전복 요리는 일반적으로 한식당에서 먹을 수 있어,
,,,,,,,,,,,,16,B,그럼 다음에 전복 요리 먹으러 가자!,
137838,0106,여자,20,0110,남자,20,,,,건강 및 식음료,눈,1,A,헬롱! 요즘 눈이 너무 피곤해 ㅠㅠ,
,,,,,,,,,,,,2,B,나도 그래! 눈 건강 관리는 중요하다는데,
,,,,,,,,,,,,3,A,맞아! 눈은 한 번 나빠지면 다시 좋아지기 힘들대,
,,,,,,,,,,,,4,B,그래서 어떻게 관리해야 해?,
,,,,,,,,,,,,5,A,시력 검사를 자주 받는 게 좋대,
,,,,,,,,,,,,6,B,나는 아직 검사를 안 해봤는데,
,,,,,,,,,,,,7,A,만 3세쯤에 검사를 하는 게 좋대,
,,,,,,,,,,,,8,B,글쿠나. 그럼 내가 검사를 받아야겠다,글쿠나
,,,,,,,,,,,,9,A,그리고 유아기에는 결막염에 주의해야 해,
,,,,,,,,,,,,10,B,결막염이 뭐임? 첨 들어봤는데,
,,,,,,,,,,,,11,A,결막염은 눈의 염증 질환이래,
,,,,,,,,,,,,12,B,아 그래. 그럼 어떻게 예방해야 하지?,
,,,,,,,,,,,,13,A,손을 자주 씻고 눈을 자극 안 하는 게 좋대,
,,,,,,,,,,,,14,B,글쿠나. 앞으로 조심해야겠다,글쿠나
,,,,,,,,,,,,15,A,그래! 눈 건강은 레알 중요하니까,레알
,,,,,,,,,,,,16,B,알았어. 고마워!,
186096,0001,남자,10,0141,여자,20,,,,건강 및 식음료,뎅기열,1,A,응 헬롱!,
,,,,,,,,,,,,2,B,헬롱! 최근에 뉴스 봤어?,
,,,,,,,,,,,,3,A,응! 뎅기열에 대해서 얘기하고 있더라,
,,,,,,,,,,,,4,B,뎅기열? 그거 뭐임?,
,,,,,,,,,,,,5,A,뎅기열은 매개모기에 물리면 감염되는 병이야,
,,,,,,,,,,,,6,B,오 글쿠나.. 그럼 증상은 어떻게 되는 거야?,글쿠나
,,,,,,,,,,,,7,A,"잠복기 후에 발열, 두통, 오한, 근육통 등의 증상이 나타나",
,,,,,,,,,,,,8,B,치료법이나 예방법은 있을까?,
,,,,,,,,,,,,9,A,아직은 백신이나 치료제가 없어서 예방이 중요해,
,,,,,,,,,,,,10,B,그럼 어떻게 예방해야 하나?,
,,,,,,,,,,,,11,A,모기 물림을 피하는 게 중요해! 모기 스프레이나 벌레 퇴치제를 사용하면 도움이 돼,
,,,,,,,,,,,,12,B,아 글쿠나.. 그럼 뎅기열은 치명적인 병인가?,글쿠나
,,,,,,,,,,,,13,A,재감염 시 치명률이 급격하게 높아져서 각별한 주의가 필요해,
,,,,,,,,,,,,14,B,그러면 뎅기열에 걸리면 어떻게 되는 거야?,
,,,,,,,,,,,,15,A,뎅기열은 중증 뎅기열로 진행될 수 있고 치사율도 5% 정도 돼,
,,,,,,,,,,,,16,B,와 짜짜 무섭다.. 조심해야겠다,짜짜
211740,0001,남자,10,0115,여자,10,,,,건강 및 식음료,진로,1,A,진로 소주 최고야!,
,,,,,,,,,,,,2,B,레알? 왜 그래?,레알
,,,,,,,,,,,,3,A,진로가 뉴트로 콘셉트로 활용되고 있는데 말이야!,
,,,,,,,,,,,,4,B,뉴트로? 그게 뭐임?,
,,,,,,,,,,,,5,A,옛날 갬성을 현대적으로 표현한 거야!,갬성
,,,,,,,,,,,,6,B,그래서 어떤 효과가 있었어?,
,,,,,,,,,,,,7,A,진로 소주 판매량이 200% 증가했대!,
,,,,,,,,,,,,8,B,와 레게노네! 그래서 어떻게 젊은 세대를 공략했어?,레게노
,,,,,,,,,,,,9,A,두꺼비 캐릭터 마케팅을 해서 이목을 사로잡았거든,
,,,,,,,,,,,,10,B,두꺼비? 이게 어떻게 관련이 되지?,
,,,,,,,,,,,,11,A,두꺼비로 소주를 홍보하고 판매했어!,
,,,,,,,,,,,,12,B,아 그래서 두꺼비가 핫해졌다는 거구나,핫하다
,,,,,,,,,,,,13,A,맞아! 그래서 판매량이 1억병을 넘어섰어!,
,,,,,,,,,,,,14,B,와 레알 대단내! 다른 소주들은 어떤가?,레알;대단내
,,,,,,,,,,,,15,A,진로만 200% 증가했어! 다른 소주들은 그렇지 않아,
,,,,,,,,,,,,16,B,진로가 렬루다가 머박이었네! 나도 한 번 마셔봐야겠어!,머박;렬루
088445,0099,여자,30,0115,남자,30,,,,건강 및 식음료,건선,1,A,헬롱! 오늘 날씨 좋아!,
,,,,,,,,,,,,2,B,"응, 렬루 굿굿! 근데 너 팔꿈치랑 손가락 주변에 뭐 있어?",렬루
,,,,,,,,,,,,3,A,"아, 그거 건선이야. 완치가 어렵고 재발도 자주 일어나는 질병이야.",
,,,,,,,,,,,,4,B,건선? 그럼 전염성이 있어?,
,,,,,,,,,,,,5,A,"아니, 건선은 전염성이 없어. 근데 피부 증상 때문에 전염병으로 오해받는 경우가 많아.",
,,,,,,,,,,,,6,B,그래? 그럼 너도 건선인데 전염되지 않아서 다행이네.,
,,,,,,,,,,,,7,A,"응, 그래. 건선은 피부가 붉어지고 하얀 각질이 주요 증상이야.",
,,,,,,,,,,,,8,B,"팔꿈치, 두피, 무릎, 엉덩이 등 자극을 많이 받는 부위에 발생한다고 하더라.",
,,,,,,,,,,,,9,A,마좌 그래서 나는 팔꿈치랑 손가락 주변에 자주 발생해.,마좌
,,,,,,,,,,,,10,B,글쿠나. 건선은 치료가 어렵다고 들었어.,글쿠나
,,,,,,,,,,,,11,A,"응, 렬루다가로 어렵고 완치하기 힘들어. 그래서 지금 피부과에서 치료 중이야.",렬루
,,,,,,,,,,,,12,B,피부과에서 치료 받으면 좋을 것 같아. 건강한 피부로 돌아가길 바래!,
,,,,,,,,,,,,13,A,고마워! 나도 건강한 피부로 돌아가길 바래!,
,,,,,,,,,,,,14,B,건강한 피부는 레알 중요하니까! 피부 관리도 꼭 해야해.,레알
,,,,,,,,,,,,15,A,마좌 피부 관리는 꼭 해야지. 건강한 피부로 예쁘게 지내자!,마좌
,,,,,,,,,,,,16,B,웅웅 건강한 피부로 예쁘게 지내자!,
114535,0087,남자,20,0142,여자,20,,,,건강 및 식음료,코로나19 변이,1,A,코로나19 확진자 수가 급증했어 ㅠㅠ,
,,,,,,,,,,,,2,B,델타변이 때문에 그런 거 아니야?,
,,,,,,,,,,,,3,A,"응, 델타변이 증상이 발현 직후에 전파력이 급감한대서",
,,,,,,,,,,,,4,B,그래서 정부가 입원 기간을 단축하려는 거지?,
,,,,,,,,,,,,5,A,맞아 10일에서 7일로 단축하는 방안을 권고했대,
,,,,,,,,,,,,6,B,델타형 변이 바이러스 때문에 그런 거지?,
,,,,,,,,,,,,7,A,"응, 델타형 변이 바이러스의 특성상 증상 발현 후 3일 뒤부터 감염력이 떨어진다고 해",
,,,,,,,,,,,,8,B,그래서 생활치료센터의 권장 재원 기간도 7일로 단축한 거구나,
,,,,,,,,,,,,9,A,맞아 생활치료센터 입소자들에게도 7일로 단축됐어,
,,,,,,,,,,,,10,B,델타형 변이 바이러스가 국내에서 90% 이상이라던데,
,,,,,,,,,,,,11,A,"그래서 첨에는 증상 발현 이후 2주일, 이후 10일로 조정해 관리했다고 해",
,,,,,,,,,,,,12,B,델타형 변이 바이러스의 특성이 파악되지 않았을 때였지,
,,,,,,,,,,,,13,A,맞아 그래서 지금은 입원 기간을 단축하려는 거야,
,,,,,,,,,,,,14,B,델타형 변이 바이러스 때문에 입원 기간을 단축하는 거구나,
,,,,,,,,,,,,15,A,웅웅 델타형 변이 바이러스 때문에 입원 기간을 단축하려는 거야,
,,,,,,,,,,,,16,B,"글쿠나, 조금 더 조심해야겠다",글쿠나
040559,0062,여자,40,0129,남자,40,,,,건강 및 식음료,CDC 선정 물냉이,1,A,물냉이 샐러드라고 들어봤냐? 주말에 집에 갔더니 울 엄마가 만들어 줬는데.,
,,,,,,,,,,,,2,B,냉이가 아니라 물냉이라고? 그런 것도 있었어?,
,,,,,,,,,,,,3,A,그렇대. 슈퍼푸드여서영양 전문가들이 주목하고 있는 채소래.,
,,,,,,,,,,,,4,B,그 채소가 슈퍼푸드인지는 어찌 알아?,
,,,,,,,,,,,,5,A,CDC에서 매년 최강의 과일 및 채소 순위를 매기는데 여기서 물냉이가 1위를 놓치지 않고 있다는데?,
,,,,,,,,,,,,6,B,CDC라면 미국 질병통제예방센터잖아. 물 냉이에 어떤 성분이 있길래 그런 순위가 나와?,
,,,,,,,,,,,,7,A,"단백질, 탄수화물, 식이섬유, 비타민 C, A, K, 칼륨, 항산화 물질 등등 여하튼 뭐가 많이 들었어.",
,,,,,,,,,,,,8,B,올~ 그럼 확실히 몸에도 좋겠네?,
,,,,,,,,,,,,9,A,"엉, 항암작용도 하고 만성질환 예방에도 좋고, 뼈랑 피부에도 좋고 두루두루 좋은가 보더라.",
,,,,,,,,,,,,10,B,킹치만 무조건 좋기만 할라구. 몸에 안 맞는 사람도 있겠지?,킹치만
,,,,,,,,,,,,11,A,일반인들은 괜찮은데 와파린 같은 항혈전제 복용하는 사람들은 주의해야 해.비타민 K의 섭취량이 갑자기 늘어나면 혈액 응고 증상이 생길 수 있음.,
,,,,,,,,,,,,12,B,그렇담 항혈전제랑은 상관없는 난 열심히 먹어도 되겠네. 근데 샐러드로 먹는 방법 밖에 없어?,
,,,,,,,,,,,,13,A,"달걀 요리나 밥, 파스타처럼 맛이 부드러운 음식에 물냉이를 넣으면 풍미가 더해져. 수프, 퓌레, 페스토에 섞어도 좋구.",
,,,,,,,,,,,,14,B,오호~ 당장 물냉이 사러 가야겠네. 이 먹대장이 물냉이도 섭렵해주마.,먹대장
,,,,,,,,,,,,15,A,ㅋㅋ 지금 당장? 급하기도 해라. 건강 엄청 챙기네.,
,,,,,,,,,,,,16,B,ㅇㅇ 나 건강하게 오래 살 거야. 물냉이여 기다려라~.,
000079,0039,여자,20,0104,남자,20,,,,건강 및 식음료,밀키스 제로 출시,1,A,너 제로 칼로리 탄산음료 좋아함?,
,,,,,,,,,,,,2,B,ㅇㅇ. 일반 탄산음료보다 칼로리 부담이 덜해서 자주 마시는데 그건 왜?,
,,,,,,,,,,,,3,A,그럼 너 밀키스 제로도 마셔봄? 최근에 새로 출시됐다고 하던데.,
,,,,,,,,,,,,4,B,레알? 밀키스도 제로 칼로리로 나왔다고?,레알
,,,,,,,,,,,,5,A,출시된 지 꽤 된 거 같던데 나도 얼마 전에 먹방 유튜버 영상 보고 알았음!,먹방
,,,,,,,,,,,,6,B,"오, 대박.. 그럼 너는 밀키스 제로 먹어봤어?",대박
,,,,,,,,,,,,7,A,당연하지. 제로 칼로리인데 일반 밀키스 맛이랑 거의 똑같더라ㅋㅋ,
,,,,,,,,,,,,8,B,나도 조만간 사먹어봐야겠다. 근데 그건 어디서 살 수 있음?,
,,,,,,,,,,,,9,A,"편의점이나 마트에서도 팔고, 온라인 칠성몰 사이트에서도 살 수 있다고 함!",
,,,,,,,,,,,,10,B,그렇구만. 밀키스 제로는 그럼 캔으로만 출시된 거야?,
,,,,,,,,,,,,11,A,"ㄴㄴ. 250mL 캔이랑 300mL, 500mL 페트병으로도 출시됨!",
,,,,,,,,,,,,12,B,페트병으로도 나왔다니 박박이네. 밀키스 팬들 엄청 좋아하겠다ㅋㅋ,박박
,,,,,,,,,,,,13,A,그러니까ㅋㅋ 요즘 제로 칼로리 음료가 대세이긴 한가봄.,
,,,,,,,,,,,,14,B,니 이야기 들으니까 맛이 더 궁금해지네. 내일 당장 편의점 가서 사와야겠다ㅋㅋ,
,,,,,,,,,,,,15,A,편의점에 캔 음료 원 플러스 원 행사도 종종 하니까 사서 먹어봐ㅋㅋ 완전 추천함!,
,,,,,,,,,,,,16,B,오키! 먹어보고 나서 후기 말해줄게.,
115190,0087,남자,20,0144,여자,20,,,,건강 및 식음료,예방접종,1,A,예방접종은 중요해!,
,,,,,,,,,,,,2,B,"응, 독감 막기 위해서는 필수지",
,,,,,,,,,,,,3,A,특히 임신부와 어린이는 더 신경써야 해,
,,,,,,,,,,,,4,B,마좌 그들은 합병증 위험이 크니까,마좌
,,,,,,,,,,,,5,A,접종률이 낮아서 걱정이야,
,,,,,,,,,,,,6,B,마좌 개인위생수칙도 잘 지켜야 해,마좌
,,,,,,,,,,,,7,A,"개인위생수칙은 손씻기, 기침예절 등이지",
,,,,,,,,,,,,8,B,마좌 그리고 마스크도 꼭 착용해야 해,마좌
,,,,,,,,,,,,9,A,마스크는 외출할 때만 쓰면 되겠지?,
,,,,,,,,,,,,10,B,"아니, 사람들이 많은 곳에서도 써야 해",
,,,,,,,,,,,,11,A,"글쿠나, 그럼 나도 더 신경 써야겠어",글쿠나
,,,,,,,,,,,,12,B,마좌 우리 모두 건강을 지키자!,마좌
,,,,,,,,,,,,13,A,"응, 건강이 최고야!",
,,,,,,,,,,,,14,B,ㅋㅋ 그래서 우린 예방접종을 받아야 해,
,,,,,,,,,,,,15,A,마좌 독감에 걸리면 큰일이야,마좌
,,,,,,,,,,,,16,B,그래서 예방접종은 필수지!,
137957,0106,여자,20,0103,남자,20,,,,건강 및 식음료,통풍,1,A,헬롱! 요즘 어떻게 지내?,
,,,,,,,,,,,,2,B,ㅎㅇㅎㅇ! 나 요즘 통풍 때문에 고생 중이야,
,,,,,,,,,,,,3,A,통풍이란 건 관절에 침착되는 질환이지?,
,,,,,,,,,,,,4,B,ㅇㅇ 맞아! 혈액 내 요산이 높아지면 발생해,
,,,,,,,,,,,,5,A,그래서 음식 조절이 중요한 거지?,
,,,,,,,,,,,,6,B,ㅇㅇ 맞아! 퓨린이 많은 음식은 피하고 신장 건강도 중요해,
,,,,,,,,,,,,7,A,통풍 환자 수가 계속 증가하고 있대,
,,,,,,,,,,,,8,B,ㅠㅠ 그래서 2030세대도 주의해야 해,
,,,,,,,,,,,,9,A,통풍은 어떤 단계로 진행되는 거야?,
,,,,,,,,,,,,10,B,무증상 고요산혈증부터 시작돼,
,,,,,,,,,,,,11,A,고요산혈증은 어떤 증상이 있어?,
,,,,,,,,,,,,12,B,아무런 증상이 없어! 그래서 주의해야 해,
,,,,,,,,,,,,13,A,건강 관리에 신경 써야겠다,
,,,,,,,,,,,,14,B,ㅇㅇ 그래야 통풍 예방할 수 있어,
,,,,,,,,,,,,15,A,고마워! 알려줘서,
,,,,,,,,,,,,16,B,별 말씀을요! 언제든 물어봐!,
152714,0086,남자,20,0144,여자,20,0106,남자,20,건강 및 식음료,헌혈 캠페인,1,A,헌혈 캠페인 ㅇㄸ?,ㅇㄸ
,,,,,,,,,,,,2,B,진짜 좋은 일이야!,
,,,,,,,,,,,,3,C,혈액 수급 안정화에 도움이 되겠네,
,,,,,,,,,,,,4,A,그래서 대상그룹이 주도하는 거야?,
,,,,,,,,,,,,5,B,"응, 대상그룹 난 그룹사가 참여하고 있어",
,,,,,,,,,,,,6,C,"대상주식회사, 대상라이프사이언스, 초록마을, 대상에프앤비까지 말이야",
,,,,,,,,,,,,7,A,이번에는 전 국민을 대상으로 한대,
,,,,,,,,,,,,8,B,지난해에 이어 두 번째래,
,,,,,,,,,,,,9,C,휴가 난 헌혈 캠페인도 매년 진행하고 있었지,
,,,,,,,,,,,,10,A,헌혈증은 어디에 기부되는 거야?,
,,,,,,,,,,,,11,B,한국백혈병소아암협회에 기부되고 있어,
,,,,,,,,,,,,12,C,백혈병 소아암 환아들을 위한 거래,
,,,,,,,,,,,,13,A,헌혈증서는 얼마나 모았어?,
,,,,,,,,,,,,14,B,"4,932장이나 모았대",
,,,,,,,,,,,,15,C,레알 많이 모았네,레알
,,,,,,,,,,,,16,A,작년에는 코로나19 때문에 어려웠겠다,
,,,,,,,,,,,,17,B,그래서 올해는 더욱 관심을 끌기 위해 방향을 바꿨대,
,,,,,,,,,,,,18,C,휴가 난 헌혈에서 전 국민 동참 레드챌린지로 말이지,
,,,,,,,,,,,,19,A,대상그룹 임직원만 참여하던 헌혈 캠페인이 전 국민으로 확대됐다는 거지?,
,,,,,,,,,,,,20,B,맞아 작년 7월에는 10배나 증가했어,
,,,,,,,,,,,,21,C,짜짜 대단한 일이야,짜짜
,,,,,,,,,,,,22,A,헌혈 캠페인에 동참하면 좋은 일을 할 수 있겠다,
,,,,,,,,,,,,23,B,"응, 우리도 참여해보자",
,,,,,,,,,,,,24,C,ㅇㅋㅇㅋ 함께 도움을 줄 수 있으면 좋겠어,ㅇㅋ
129581,0097,여자,30,0115,남자,30,,,,건강 및 식음료,당뇨병의 날,1,A,오늘은 세계 당뇨병의 날이야!,
,,,,,,,,,,,,2,B,당뇨병은 짜짜 위험한 질병이지,짜짜
,,,,,,,,,,,,3,A,마좌 전 세계 주요 사망원인 8위래,마좌
,,,,,,,,,,,,4,B,우리나라도 10명 중 1명이 당뇨병이라니,
,,,,,,,,,,,,5,A,그래서 당뇨병 예방이 중요하대,
,,,,,,,,,,,,6,B,규칙적인 운동과 생활습관이 필요하겠네,
,,,,,,,,,,,,7,A,그래서 '발끝치기' 운동이 좋다고 해,
,,,,,,,,,,,,8,B,발끝치기? 첨 들어봤는데 효과가 있나?,
,,,,,,,,,,,,9,A,유엔이 추천한 운동이라고 하더라,
,,,,,,,,,,,,10,B,그럼 어떻게 하는 거야?,
,,,,,,,,,,,,11,A,발끝을 바닥에 붙이고 천천히 올리고 내리면 돼,
,,,,,,,,,,,,12,B,그렇게 간단한 운동이 효과가 있을까?,
,,,,,,,,,,,,13,A,운동은 규칙적으로 해야 효과가 있어,
,,,,,,,,,,,,14,B,웅웅 규칙적인 운동이 중요하겠네,
,,,,,,,,,,,,15,A,근데 당뇨병 환자들은 운동하기 어려워해,
,,,,,,,,,,,,16,B,그래서 운동을 도와주는 방법이 필요한 거지,
088760,0099,여자,30,0118,남자,30,,,,건강 및 식음료,뇌의 퇴화 방지,1,A,뇌의 주요 부분이 나이가 들면 퇴화되는데 최근 연구에서 70세 노인의 뇌가 젊은이의 뇌와 비슷하다고 나왔어,
,,,,,,,,,,,,2,B,"슈퍼에이저라는 말이 나왔는데, 나이는 환갑이 넘었지만 뇌는 젊은이와 비슷한 노인들을 말하는 거야?",
,,,,,,,,,,,,3,A,맞아! 90세 이상의 의사나 100살 이상의 스키 할아버지들이 그 예야,
,,,,,,,,,,,,4,B,그럼 젊은 뇌를 유지하는 비결이 뭐임?,
,,,,,,,,,,,,5,A,연구 결과에 따르면 생활습관이 중요하대. 주변과 교류하고 사회적으로 활동하면 뇌를 젊게 유지할 수 있어,
,,,,,,,,,,,,6,B,"그럼 많은 친구를 사귈 필요는 없고, 이웃이나 자원봉사 같은 거 하면 되는 거지?",
,,,,,,,,,,,,7,A,그렇지! 누군가와 교류를 지속적으로 하는 게 중요해,
,,,,,,,,,,,,8,B,그럼 또 어떤 생활습관이 있어?,
,,,,,,,,,,,,9,A,두 번째는 규칙적인 운동이야. 신체적 활동도 뇌 건강에 도움이 된다고 해,
,,,,,,,,,,,,10,B,운동도 중요한 거구나. 그럼 또 뭐가 있어?,
,,,,,,,,,,,,11,A,세 번째는 건강한 식습관이야. 영양가 있는 음식을 먹고 충분히 수면을 취하는 게 좋아,
,,,,,,,,,,,,12,B,식습관도 중요하구나. 그럼 또 뭐가 있어?,
,,,,,,,,,,,,13,A,네 번째는 지적 활동이야. 독서나 문제 해결 같은 걸 말하는 거야,
,,,,,,,,,,,,14,B,지적 활동도 중요하구나. 그럼 마지막으로 뭐가 있어?,
,,,,,,,,,,,,15,A,마지막은 스트레스 관리야. 스트레스를 잘 관리하면 뇌 건강에 도움이 된다고 해,
,,,,,,,,,,,,16,B,생활습관을 잘 지키면 뇌를 젊게 유지할 수 있고 치매 위험도 줄일 수 있겠네,
131083,0098,여자,30,0114,남자,30,,,,건강 및 식음료,체중 관리,1,A,오늘은 체중 관리에 대해 얘기해볼까?,
,,,,,,,,,,,,2,B,ㅋㅋ 그럴까? 나도 최근에 체중이 늘어났거든,
,,,,,,,,,,,,3,A,나도 그래. 연휴 때 너무 많이 먹었어,
,,,,,,,,,,,,4,B,맞아 송편이랑 동그랑땡을 너무 많이 먹었더라,
,,,,,,,,,,,,5,A,송편 하나에 50kcal이라니... 무서워,
,,,,,,,,,,,,6,B,마좌 6~7개만 먹어도 밥 한 공기 열량이라더라,마좌
,,,,,,,,,,,,7,A,그리고 꼬치전도 75kcal이라니... 레알루다가 곤욕이야,레알
